,Sr.No,Received Date (DD MMM YYYY),Article title,Citation Details,Reference ID,DOI,Initial Reviewer Name,Initial Review Date,Abstract/Full Text Article (FTA),Article Classification,Initial Review Comment,Quality Reviewer Name,Quality Review Date,Quality Review Comment,Full Text Request Raised (Order ID),Translation Request Raised (Order ID),Article Priority,Country Of Incidence,Valid Drugs,Invalid Drugs,Suspected Events,No. of cases to be created,Allocation Sent,Case ID,Reference number for Aggregate report as applicable,Reference number for Signal report as applicable,Additional Comments (if any)
3282,,,Remission Induction of IgG4-related Membranous Nephropathy with Multitarget Therapy,Intern Med. 2023 Mar 15. doi: 10.2169/internalmedicine.1023-22. Online ahead of print.,36927975,10.2169/internalmedicine.1023-22,,,Full text,Rejected,No safety information,,,No error,,,,Japan,,,,,,,,,
3283,,,Impact of antimicrobial drug-drug interactions on acute kidney injury after allogeneic hematopoietic cell transplantation,Transplant Cell Ther. 2023 Jul 20:S2666-6367(23)01421-5. doi: 10.1016/j.jtct.2023.07.017. Online ahead of print.,37481244,10.1016/j.jtct.2023.07.017,,,Full text,Invalid,"No MA in COI_Levofloxacin,Fluconazole_ incidence of AKI( REF-Table 2)",,,No error,,,,Japan,,"Levofloxacin, Fluconazole, Voriconazole, Aciclovir, Ciprofloxacin, Trimethoprim-sulfamethoxazole
", incidence of AKI,,,,,,
3284,,,Non-traumatic Acute Subdural Hematoma in a Patient With Scleroderma Complicated by Pulmonary Arterial Hypertension: A Case Report,Cureus. 2023 May 9;15(5):e38769. doi: 10.7759/cureus.38769. eCollection 2023 May.,37303401,10.7759/cureus.38769,,,Full Text,Invalid,No MA in COI_warfarin_subdural hematoma,,,No error,,,,United states,,warfarin,subdural hematoma,,,,,,
3285,,,"Comparison of in vitro Killing Effect of Thai Herbal Essential Oils, Tea Tree Oil, and Metronidazole 0.75% versus Ivermectin 1% on Demodex folliculorum",Clin Cosmet Investig Dermatol. 2023 May 18;16:1279-1286. doi: 10.2147/CCID.S414737. eCollection 2023.,37228784,10.2147/CCID.S414737,,,Abstract ,Rejected,No safety information_In vitro study,,,No error,,,,Thailand,,,,,,,,,
3286,,,Green polymer hydrogels from a natural monomer with inherent antioxidative capability for efficient wound healing and spinal cord injury treatment,Biomater Sci. 2023 May 16;11(10):3683-3694. doi: 10.1039/d3bm00174a.,37021981,10.1039/d3bm00174a,,,Abstract,Rejected,Animal study_No safety information,,,No error,,,,China,,,,,,,,,
3287,,,CT Volumetry Can Be Used for Monitoring Liver Function Recovery in Auxiliary Partial Orthotopic Liver Transplantation,Transplantation. 2023 Apr 25. doi: 10.1097/TP.0000000000004608. Online ahead of print.,37095611,10.1097/TP.0000000000004608,,,Abstract,Invalid,No MA in COI_Paracetamol_Paracetamol intoxication,,,No error,,,,France,,Paracetamol,Paracetamol intoxication,,,,,,
3288,,,G-quadruplex-hemin DNAzyme functionalized nanopipettes: Fabrication and sensing application,Talanta. 2023 May 15;257:124384. doi: 10.1016/j.talanta.2023.124384. Epub 2023 Feb 18.,36812658,10.1016/j.talanta.2023.124384,,,Abstract,Rejected,No safety information,,,No error ,,,,China,,,,,,,,,
3289,,,Application of ultrasonication as pre-treatment for freeze drying: An innovative approach for the retention of nutraceutical quality in foods,Food Chem. 2023 Mar 15;404(Pt B):134571. doi: 10.1016/j.foodchem.2022.134571. Epub 2022 Oct 12.,36323010,10.1016/j.foodchem.2022.134571,,,Abstract,Rejected,No safety information_Review article,,,No Error,,,,India,,,,,,,,,
3290,,,Impact of Drug Interactions on Major Bleed Rates in Patients Taking Direct Oral Anticoagulants,J Pharm Pract. 2023 Jun;36(3):600-605. doi: 10.1177/08971900211059411. Epub 2022 Feb 7.,35130781,10.1177/08971900211059411,,,Abstract,Invalid,No MA in COI_Aspirin_Drug interaction,,,No error ,,,,United states,,Aspirin,Drug interaction,,,,,,
3291,,,Assessment of DOAC in GEriatrics (Adage Study): Rivaroxaban/Apixaban Concentrations and Thrombin Generation Profiles in NVAF Very Elderly Patients,Thromb Haemost. 2023 Apr;123(4):402-414. doi: 10.1055/a-1981-1763. Epub 2022 Nov 17.,36395818,10.1055/a-1981-1763,,,Full Text,Invalid,"No MA in COI_Rivaroxaban_Bleeding, thromboembolic event",,,No error,,,,France,,Rivaroxaban,"Bleeding, Thromboembolic event",,,,,,
3292,,,Long-term Results of Splenectomy in Transfusion-dependent Thalassemia,J Pediatr Hematol Oncol. 2023 Apr 1;45(3):143-148. doi: 10.1097/MPH.0000000000002468. Epub 2022 Apr 18.,35446800,10.1097/MPH.0000000000002468,,,Abstract,Invalid,"No MA in COI_No patient,event correlation_Aspirin_Thrombosis,infections,pulmonary hypertension",,,No Error,,,,Turkey,,Aspirin,"Thrombosis,infections,pulmonary hypertension",,,,,,
3293,,,Nicotinamide N-methyltransferase (NNMT) upregulation contributes to palmitate-elicited PPAR? transactivation in hepatocytes,Am J Physiol Cell Physiol. 2023 May 22. doi: 10.1152/ajpcell.00010.2023. Online ahead of print.,37212549,10.1152/ajpcell.00010.2023,,,Abstract,Rejected,"No safety information_Animal study,In vitro study",,,No error ,,,,United States,,,,,,,,,
3294,,,Computational Modelling of Paracellular Diffusion and OCT3 Mediated Transport of Metformin in the Perfused Human Placenta,J Pharm Sci. 2023 May 19:S0022-3549(23)00196-X. doi: 10.1016/j.xphs.2023.05.008. Online ahead of print.,37211316,10.1016/j.xphs.2023.05.008,,,Full Text,Rejected,No safety information,,,No Error,,,,United Kingdom,,,,,,,,,
3295,,,Photocatalytic Regeneration of a Nicotinamide Adenine Nucleotide Mimic with Water-Soluble Iridium(III) Complexes,Inorg Chem. 2023 May 22;62(20):7636-7643. doi: 10.1021/acs.inorgchem.2c03100. Epub 2023 Feb 2.,36731131,10.1021/acs.inorgchem.2c03100,,,Abstract,Rejected,No safety information_invitro study ,,,No Error,,,,Switzerland,,,,,,,,,
3296,,,Microbiological epidemiology and antibiotic susceptibility of infected meshes after prosthetic abdominal wall repair,J Visc Surg. 2023 Apr;160(2):85-89. doi: 10.1016/j.jviscsurg.2023.02.007. Epub 2023 Mar 17.,36935232,10.1016/j.jviscsurg.2023.02.007,,,Abstract,Rejected,No safety information,,,No Error,,,,France,,,,,,,,,
3297,,,"Evaluation of the anti-inflammatory, analgesic, anti-pyretic and anti-ulcerogenic potentials of synthetic indole derivatives",Sci Rep. 2023 May 27;13(1):8639. doi: 10.1038/s41598-023-35640-4.,37244979,10.1038/s41598-023-35640-4,,,Abstract ,Rejected,No safety information_Animal study,,,No error,,,,Pakisthan,,,,,,,,,
3298,,,Evaluation of carbon dioxide elevation on phenolic compounds and antioxidant activity of red onion (Allium cepa L.) during postharvest storage,Plant Physiol Biochem. 2023 May 15;200:107752. doi: 10.1016/j.plaphy.2023.107752. Online ahead of print.,37224628,10.1016/j.plaphy.2023.107752,,,Abstract,Rejected,No safety information,,,No error,,,,China,,,,,,,,,
3299,,,Rapid adaptive evolution of Bacillus coagulans to undetoxified corncob hydrolysates for lactic acid production and new insights into its high phenolic degradation,Bioresour Technol. 2023 May 27:129246. doi: 10.1016/j.biortech.2023.129246. Online ahead of print.,37247791,10.1016/j.biortech.2023.129246,,,Abstract,Rejected,No safety information,,,No error,,,,China,,,,,,,,,
3300,,,Baseline characteristics of people experiencing homelessness with a recent drug overdose in the PHOENIx pilot randomised controlled trial,Harm Reduct J. 2023 Apr 4;20(1):46. doi: 10.1186/s12954-023-00771-4.,37016418,10.1186/s12954-023-00771-4,,,Full Text,Invalid,No patient-product-event correlation_Diazepam_Overdose,,,No error,,,,United Kingdom,,Diazepam,Overdose,,,,,,
3301,,,A nurse-led intervention in patients with newly diagnosed cancer and Type 2 diabetes: A pilot randomized controlled trial feasibility study,Cancer Med. 2023 May 22. doi: 10.1002/cam4.6118. Online ahead of print.,37212484,10.1002/cam4.6118,,,Full text,Invalid,No MA in COI_Metformin_Drug intolerance,,,No error,,,,United states,,Metformin,Drug intolerance,,,,,,
3302,,,Progression from prediabetes to type 2 diabetes mellitus in adolescents: a real world experience,Front Clin Diabetes Healthc. 2023 May 9;4:1181729. doi: 10.3389/fcdhc.2023.1181729. eCollection 2023.,37228785,10.3389/fcdhc.2023.1181729,,,Full text,Invalid,No MA in COI_Metformin_Off-label use,,,No error,,,,United states,,Metformin,Off-label use,,,,,,
3303,,,Is the Environmental Risk of Metformin Underestimated?,Environ Sci Technol. 2023 May 31. doi: 10.1021/acs.est.3c02468. Online ahead of print.,37256706,10.1021/acs.est.3c02468,,,Full Text,Invalid,Animal study/Environmental study_Metformin_Impact on embryonic development( secondary reference ,,,No error,,,,Spain,,Metformin,Impact on embryonic development,,,,,,
3304,,,Rubiginosin B selectively inhibits Treg cell differentiation and enhances anti-tumor immune responses by targeting calcineurin-NFAT signaling pathway,Phytomedicine. 2023 May 23;116:154898. doi: 10.1016/j.phymed.2023.154898. Online ahead of print.,37247590,10.1016/j.phymed.2023.154898,,,Abstract,Rejected,No safety information_plant study/Animal study,,,No error,,,,China,,,,,,,,,
3305,,,Efficacy and Safety of Jianpi Jieyu Decoction for Patients with Mild-to-Moderate Depression of Xin (Heart)-Pi (Spleen) Deficiency Syndrome: A Multi-centre Randomized Controlled Study,Chin J Integr Med. 2023 Apr;29(4):299-307. doi: 10.1007/s11655-022-3685-6. Epub 2022 Oct 27.,36301455,10.1007/s11655-022-3685-6,,,Full Text,Invalid,"No MA in COI_paroxetine_dry mouth,drowsiness,constipation tachycardia,myotonia,headache,sweating,constipation,anorexia,tachycardia.",,,No Error,,,,China,,paroxetine,"dry mouth,drowsiness,constipation tachycardia,myotonia,headache,sweating,constipation,anorexia,tachycardia.",,,,,,
3306,,,Selection of indicator contaminants of emerging concern when reusing reclaimed water for irrigation - A proposed methodology,Sci Total Environ. 2023 May 15;873:162359. doi: 10.1016/j.scitotenv.2023.162359. Epub 2023 Feb 21.,36822429,10.1016/j.scitotenv.2023.162359,,,Abstract,Rejected,No safety information_Environmental study,,,No error,,,,Italy,,,,,,,,,
3307,,,Analytical method for the determination of usually prescribed antibiotics in human nails using UHPLC-MS/MS. Comparison of the efficiency of two extraction techniques,Talanta. 2023 May 18;262:124687. doi: 10.1016/j.talanta.2023.124687. Online ahead of print.,37229817,10.1016/j.talanta.2023.124687,,,Abstract,Rejected,No safety information_Invitro study,,,No Error,,,,Spain,,,,,,,,,
3308,,,Dopamine Transmission Imbalance in Neuroinflammation: Perspectives on Long-Term COVID-19,Int J Mol Sci. 2023 Mar 15;24(6):5618. doi: 10.3390/ijms24065618.,36982693,10.3390/ijms24065618,,,Full text,Rejected,Review_No safety information,,,No error,,,,Italy,,,,,,,,,
3309,,,Idebenone attenuates ferroptosis by inhibiting excessive autophagy via the ROS-AMPK-mTOR pathway to preserve cardiac function after myocardial infarction,Eur J Pharmacol. 2023 Mar 15;943:175569. doi: 10.1016/j.ejphar.2023.175569. Epub 2023 Feb 3.,36740037,10.1016/j.ejphar.2023.175569,,,Abstract,Rejected,No safety information_Animal study ,,,No Error,,,,China,,,,,,,,,
3310,,,The Regulation of the AMPK/mTOR Axis Mitigates Tendon Stem/Progenitor Cell Senescence and Delays Tendon Aging,Stem Cell Rev Rep. 2023 Mar 14. doi: 10.1007/s12015-023-10526-0. Online ahead of print.,36917311,10.1007/s12015-023-10526-0,,,Abstract,Rejected,Animal study_no safety information,,,No Error,,,,China,,,,,,,,,
3311,,,The use of specific antihypertensive medication and skin cancer risk: A systematic review of the literature and meta-analysis,Vascul Pharmacol. 2023 Jun;150:107173. doi: 10.1016/j.vph.2023.107173. Epub 2023 Apr 20.,37084802,10.1016/j.vph.2023.107173,,,Full text,Invalid,"systematic review and meta-analysis_Hydrochlorothiazide, sotalol, enalapril,Bendroflumethiazide_increased risk for NMSC,BCC,SCC,Lip cancer,CMM(refer Table 03)",,,"Article classification has been updated from Rejected to Invalid;IR comment has been updated from No safety information to systematic review and meta-analysis_Hydrochlorothiazide, sotalol, enalapril,Bendroflumethiazide_increased risk for NMSC,BCC,SCC,Lip cancer,CMM (refer Table 03);Invalid drugs NA to Hydrochlorothiazide, sotalol, enalapril,Bendroflumethiazide; Event has been updated from NA to increased risk for NMSC,BCC,SCC,Lip cancer,CMM(refer Table 03)",,,,Netherlands,,"Hydrochlorothiazide, sotalol, enalapril,Bendroflumethiazide","increased risk for NMSC,BCC,SCC,Lip cancer,CMM(refer Table 03)",,,,,,
3312,,,Histone deacetylase 1 regulates haloperidol-induced motor side effects in aged mice,Behav Brain Res. 2023 Jun 5;447:114420. doi: 10.1016/j.bbr.2023.114420. Epub 2023 Apr 5.,37028517,10.1016/j.bbr.2023.114420,,,Abstract,Invalid,"No MA in COI_Haloperidol_increase cataleptic behavior,motor side effects",,,No error,,,,United States,,Haloperidol,"increase cataleptic behavior, motor side effects",,,,,,
3313,,,"A pilot study to compare propranolol and misoprostol versus misoprostol and placebo for induction of labor in primigravidae; a randomized, single-blinded, placebo-controlled trial",BMC Pregnancy Childbirth. 2023 Apr 4;23(1):226. doi: 10.1186/s12884-023-05537-1.,37016326,10.1186/s12884-023-05537-1,,,Full Text,Invalid,No MA in COI_Propranolol_DEDP,,,No error,,,,Egypt,,Propranolol,DEDP,,,,,,
3314,,,"Calcium phosphate incorporated in silk fibroin/methylcellulose based injectable hydrogel: Preparation, characterization, and in vitro biological evaluation for bone defect treatment",J Biomed Mater Res B Appl Biomater. 2023 May 17. doi: 10.1002/jbm.b.35262. Online ahead of print.,37194686,10.1002/jbm.b.35262,,,Abstract ,Rejected,No safety information_In vitro study,,,No error,,,,Thailand,,,,,,,,,
3315,,,"Effect of Biotic Elicitors on the Growth, Antioxidant Activity and Metabolites Accumulation in In Vitro Propagated Shoots of Pueraria tuberosa",Plants (Basel). 2023 Mar 14;12(6):1300. doi: 10.3390/plants12061300.,36986988,10.3390/plants12061300,,,Abstract ,Rejected,Invitro study_no safety information,,,No Error,,,,India,,,,,,,,,
3316,,,Neurodevelopmental disorders after prenatal exposure to topiramate: A lost decade idly watching from the sidelines,Seizure. 2023 Apr;107:190-191. doi: 10.1016/j.seizure.2023.03.009. Epub 2023 Mar 15.,36966050,10.1016/j.seizure.2023.03.009,,,Abstract,Invalid,"No MA in COI_Topiramate _DEDP, FEDP",,,No error,,,,France,,Topiramate,"DEDP, FEDP ",,,,,,
3317,,,A randomised controlled trial testing the rebound-preventing benefit of four days of prednisolone during the induction of oclacitinib therapy in dogs with atopic dermatitis,Vet Dermatol. 2023 Apr;34(2):99-106. doi: 10.1111/vde.13134. Epub 2022 Nov 4.,36330780,10.1111/vde.13134,,,Abstract,Invalid,Animal study_Adverse events (NOS)_Prednisolone,,,No error,,,,United States,,Prednisolone,Adverse events not specified,,,,,,
3318,,,Arsenite-induced cytotoxicity is regulated by poly-ADP ribose polymerase 1 activation and parthanatos in p53-deficient H1299 cells: The roles of autophagy and p53,Biochem Biophys Res Commun. 2023 May 14;656:78-85. doi: 10.1016/j.bbrc.2023.03.018. Epub 2023 Mar 14.,36958258,10.1016/j.bbrc.2023.03.018,,,Abstract,Rejected,No safety information,,,No error,,,,South Korea,,,,,,,,,
3319,,,Therapeutic Outcomes Wide Association Scan of different antipsychotics in patients with schizophrenia: randomized clinical trials and multi-ancestry validation,Psychiatry Clin Neurosci. 2023 May 21. doi: 10.1111/pcn.13567. Online ahead of print.,37210704,10.1111/pcn.13567,,,Abstract,Invalid,"NO MA in COI_Olanzapine_weight gain, Liver dysfunction, sedation, increased lipid level; Quetiapine_Sedation, palpitation, increased lipid level; Aripiprazole_Hyperprolactinemia, weight gain, sedation, QTC prolongation; Haloperidol_Extrapyramidal syndrome, Hyperprolactinemia,increased salvation",,,No error ,,,,China,,"Olanzapine, Quetiapine, Aripiprazole, Haloperidol","Weight gain, Liver dysfunction, sedation, increased lipid level, palpitation, increased lipid level, Hyperprolactinemia, QTC prolongation,Extrapyramidal syndrome, increased salvation.",,,,,,
3320,,,Oxazolidinone: A promising scaffold for the development of antibacterial drugs,Eur J Med Chem. 2023 Mar 15;250:115239. doi: 10.1016/j.ejmech.2023.115239. Epub 2023 Mar 1.,36893700,10.1016/j.ejmech.2023.115239,,,Abstract,Rejected,No safety information,,,No Error,,,,China,,,,,,,,,
3321,,,Type 2 Diabetes Mellitus and Efficacy Outcomes from Immune Checkpoint Blockade in Patients with Cancer,Clin Cancer Res. 2023 Jul 14;29(14):2714-2724. doi: 10.1158/1078-0432.CCR-22-3116.,37125965,10.1158/1078-0432.CCR-22-3116,,,Abstract,Invalid,No MA in COI_Metformin_Disease progression,,,No error,,,,Italy,,Metformin,Disease progression,,,,,,
3322,,,"""Quasi-In Situ Synthesis of Oxygen Vacancy-Enriched Strontium Iron Oxide Supported on Boron-Doped Reduced Graphene Oxide to Elevate the Photocatalytic Destruction of Tetracycline""",Langmuir. 2023 May 23;39(20):7091-7108. doi: 10.1021/acs.langmuir.3c00340. Epub 2023 May 10.,37163322,10.1021/acs.langmuir.3c00340,,,Abstract ,Rejected,In-vitro/Insitu study_No safety information,,,No error,,,,India,,,,,,,,,
3323,,,Boosting protection for patients with non-acute cardiovascular disease: a focus on antithrombotic regimen (a consensus expert opinion from the Egyptian Society of Cardiology working group of thrombosis and prevention),Egypt Heart J. 2023 May 8;75(1):40. doi: 10.1186/s43044-023-00364-3.,37155111,10.1186/s43044-023-00364-3,,,Full text,Invalid,"No MA in COI_Aspirin,Rivaroxaban_Major bleeding events",,,No error,,,,Egypt,,"Aspirin,Rivaroxaban",Major bleeding events,,,,,,
3324,,,Expression and Purification of Glycosyltransferase DnmS from Streptomyces peucetius ATCC 27952 and Study on Catalytic Characterization of Its Reverse Glycosyltransferase Reaction,Microorganisms. 2023 Mar 16;11(3):762. doi: 10.3390/microorganisms11030762.,36985335,10.3390/microorganisms11030762,,,Abstract,Rejected,Invitro/Invivo study_No safety information,,,No error,,,,China,,,,,,,,,
3325,,,"A ""Bundle of Care"" to Improve Anticoagulation Control in Patients Receiving Warfarin in Uganda and South Africa: Protocol for an Implementation Study",JMIR Res Protoc. 2023 Jul 19;12:e46710. doi: 10.2196/46710.,37467034,10.2196/46710,,,Full Text,Invalid,"No patient identifiers_Warfarin_Death, bleeding, or thrombosis",,,No error,,,,Uganda and South Africa,,Warfarin,"Death, bleeding, or thrombosis",,,,,,
3326,,,Could colchicine reduce cardiovascular events in coronary artery disease without increasing all-cause mortality: Avoid optical illusions!,Int J Cardiol. 2023 Apr 1;376:125-126. doi: 10.1016/j.ijcard.2023.01.064. Epub 2023 Jan 27.,36716969,10.1016/j.ijcard.2023.01.064,,,Abstract,Invalid,No MA in COI_Colchicine_Non-fatal cardiovascular events,,,No error,,,,France,,Colchicine,Non-fatal cardiovascular events,,,,,,
3327,,,Whipple's disease presenting as weight gain and constipation in a Chinese woman,BMC Infect Dis. 2023 May 8;23(1):302. doi: 10.1186/s12879-023-08276-y.,37158848,10.1186/s12879-023-08276-y,,,Full Text,Invalid,No MA in COI_Doxycycline_Blurring vision,,,No error,,,,China,,Doxycycline,Blurring vision,,,,,,
3328,,,Torsemide vs Furosemide After Discharge and All-Cause Mortality in Patients With Heart Failure,JAMA. 2023 May 16;329(19):1703-1704. doi: 10.1001/jama.2023.5288.,37191707,10.1001/jama.2023.5288,,,Abstract,Rejected,No safety information,,,Article type updated from Full text to Abstract,,,,United States,,,,,,,,,
3329,,,Pharmacokinetic Variables of Dapagliflozin/Metformin Extended-Release Fixed-Dose Combination in Healthy Chinese Volunteers and Regional Comparison,Clin Ther. 2023 Jul 11:S0149-2918(23)00216-3. doi: 10.1016/j.clinthera.2023.06.012. Online ahead of print.,37442656,10.1016/j.clinthera.2023.06.012,,,Full text,Invalid,"No product,event correlation_Metformin_AE NOS",,,No error,,,,China,,Metformin,AE NOS,,,,,,
3330,,,"Stevens-johnson Syndrome and Toxic Epidermal Necrolysis: An Overview of Diagnosis, Therapy Options and Prognosis of Patients",Recent Adv Inflamm Allergy Drug Discov. 2023 Aug 21. doi: 10.2174/2772270817666230821102441. Online ahead of print.,37605396,10.2174/2772270817666230821102441,,,Abstract,Invalid,"No MA in COI_Carbamazepine_Stevens-johnson Syndrome,Toxic Epidermal Necrolysis",,,COI has been upadted from India to China,,,,China,,Carbamazepine,"Stevens-johnson Syndrome,Toxic Epidermal Necrolysis",,,,,,
3331,,,Comparison of Antimicrobial Resistance among Commensal Escherichia coli Isolated from Retail Table Eggs Produced by Laying Hens from the Cage and Non-Cage Housing Systems in Western Australia,Antibiotics (Basel). 2023 Mar 15;12(3):588. doi: 10.3390/antibiotics12030588.,36978454,10.3390/antibiotics12030588,,,Abstract,Rejected,No safety information_Invitro study,,,No Error,,,,Australia,,,,,,,,,
3332,,,Acetazolamide-augmented BOLD MRI to Assess Whole-Brain Cerebrovascular Reactivity in Chronic Steno-occlusive Disease Using Principal Component Analysis,Radiology. 2023 May;307(3):e221473. doi: 10.1148/radiol.221473. Epub 2023 Mar 14.,36916889,10.1148/radiol.221473,,,Abstract,Rejected,No safety Information,,,No Error,,,,United States,,,,,,,,,
3333,,,Antioxidant-rich foods and nutritional value in daily kindergarten menu: A randomized controlled evaluation executed in Slovenia,Food Chem. 2023 Mar 15;404(Pt A):134566. doi: 10.1016/j.foodchem.2022.134566. Epub 2022 Oct 12.,36444013,10.1016/j.foodchem.2022.134566,,,Full Text,Rejected,No safety information,,,No Error,,,,Slovenia,,,,,,,,,
3334,,,"Super absorbent glutaric anhydride-modified agar: Structure, properties, and application in biomaterial delivery",Int J Biol Macromol. 2023 Mar 15;231:123524. doi: 10.1016/j.ijbiomac.2023.123524. Epub 2023 Feb 1.,36736981,10.1016/j.ijbiomac.2023.123524,,,Abstract,Rejected,No safety information_Invitro study,,,No Error,,,,China,,,,,,,,,
3335,,,A value-based budget impact model for dronedarone compared with other rhythm control strategies,J Comp Eff Res. 2023 Apr;12(4):e220196. doi: 10.57264/cer-2022-0196. Epub 2023 Mar 14.,36916711,10.57264/cer-2022-0196,,,Abstract,Rejected,Cost effectiveness study_No safety information,,,No Error,,,,United States,,,,,,,,,
3336,,,An integrated microfluidic chip for studying the effects of neurotransmitters on neurospheroids,Lab Chip. 2023 Mar 14;23(6):1649-1663. doi: 10.1039/d2lc00755j.,36751868,10.1039/d2lc00755j,,,Abstract,Rejected,No safety information_In vitro study,,,No error,,,,United states,,,,,,,,,
3337,,,American Gastroenterological Association-American College of Gastroenterology Clinical Practice Guideline: Pharmacological Management of Chronic Idiopathic Constipation,Am J Gastroenterol. 2023 May 19. doi: 10.14309/ajg.0000000000002227. Online ahead of print.,37204227,10.14309/ajg.0000000000002227,,,Full Text,Rejected,No safety information,,,No error,,,,United States,,,,,,,,,
3338,,,Risk of both intracranial hemorrhage and ischemic stroke in elderly individuals with nonvalvular atrial fibrillation taking direct oral anticoagulants compared with warfarin: Analysis of the ANAFIE registry,Int J Stroke. 2023 May 23:17474930231175807. doi: 10.1177/17474930231175807. Online ahead of print.,37154598,10.1177/17474930231175807,,,Abstract,Invalid,"No MA in COI_Warfarin_ischemic stroke, intracerebral hemorrhage",,,No error,,,,Japan,,Warfarin,"ischemic stroke, intracerebral hemorrhage",,,,,,
3339,,,Liquid Chromatography-High-Resolution Mass Spectrometry (LC-HRMS) Analysis Following Voluntary Carvedilol Poisoning in a Subject with Cirrhosis: A Case Report,J Anal Toxicol. 2023 Mar 21;47(2):e29-e32. doi: 10.1093/jat/bkac078.,36176064,10.1093/jat/bkac078,,,Abstract,Invalid,"No MA in COI_Carvedilol_overdose (attempted suicide), liver functions are impaired (decresed factor V and Prothrombin levels)",,,No Error,,,,France,,Carvedilol,"overdose (attempted suicide), liver functions are impaired (decresed factor V and Prothrombin levels)",,,,,,
3340,,,Toward model-informed precision dosing for tamoxifen: A population-pharmacokinetic model with a continuous CYP2D6 activity scale,Biomed Pharmacother. 2023 Apr;160:114369. doi: 10.1016/j.biopha.2023.114369. Epub 2023 Feb 6.,36753957,10.1016/j.biopha.2023.114369,,,Full Text,Invalid,No MA in COI_Allopurinol_rash with eosinophilia and systemic symptoms,,,No error,,,,Netherlands,,Allopurinol,Rash with eosinophilia and systemic symptoms,,,,,,
3341,,,Metronidazole induced cutaneous adverse drug reaction- a systematic review of descriptive studies,Curr Rev Clin Exp Pharmacol. 2023 Jun 1. doi: 10.2174/2772432819666230601155545. Online ahead of print.,37264661,10.2174/2772432819666230601155545,,,Abstract,Invalid,Systematic review_Metronidazole_Cutaneous adverse drug reaction,,,No Error,,,,India,,Metronidazole,Cutaneous adverse drug reaction,,,,,,
3342,,,Lateral Bone Augmentation Using a Three-Dimensional-Printed Polymeric Chamber to Compare Biomaterials,Tissue Eng Part C Methods. 2023 May 24. doi: 10.1089/ten.TEC.2023.0025. Online ahead of print.,37082957,10.1089/ten.TEC.2023.0025,,,Abstract,Rejected,No safety information_Animal study/invivo,,,No error ,,,,Netherlands,,,,,,,,,
3343,,,Efficacy and safety of amiodarone combined with metoprolol for treating atrial fibrillation with concomitant heart failure,Minerva Med. 2023 Apr 6. doi: 10.23736/S0026-4806.23.08618-4. Online ahead of print.,37021474,10.23736/S0026-4806.23.08618-4,,,Full Text,Invalid,"No patient-product-event correlation_Hypotension, prolonged QT interval (refer table 2 in supplementary for safety) with Amiodarone",,,No error,,,,China,,Amiodarone,"Hypotension,prolonged QT interval (Refer suplementary table 2 for safety)",,,,,,
3344,,,A self-healable metallohydrogel for drug encapsulations and drug release,RSC Adv. 2023 May 22;13(23):15448-15456. doi: 10.1039/d3ra00930k. eCollection 2023 May 22.,37223407,10.1039/d3ra00930k,,,Abstract,Rejected,No safety information_In vitro study,,,No error,,,,India,,,,,,,,,
3345,,,Right Ventricular Function and Coupling to Pulmonary Circulation in Heart Failure with Preserved Ejection Fraction: The PARAGON-HF Trial,J Am Coll Cardiol. 2023 May 15:S0735-1097(23)05587-0. doi: 10.1016/j.jacc.2023.05.010. Online ahead of print.,37225045,10.1016/j.jacc.2023.05.010,,,Abstract,Rejected,No safety information,,,No error,,,,United States,,,,,,,,,
3346,,,"Efficacy of tegoprazan-based bismuth quadruple therapy compared with bismuth quadruple therapy for Helicobacter pylori infection: A randomized, double-blind, active-controlled study",Helicobacter. 2023 Jun;28(3):e12977. doi: 10.1111/hel.12977. Epub 2023 Apr 21.,37083222,10.1111/hel.12977,,,Abstract,Invalid,No MA in COI_lansoprazole_Adverse events NOS,,,No error,,,,South Korea,,lansoprazole,Adverse events NOS,,,,,,
3347,,,Antibiotic consumption and antimicrobial resistance in the SARS-CoV-2 pandemic: A single-center experience,Front Pharmacol. 2023 Mar 15;14:1067973. doi: 10.3389/fphar.2023.1067973. eCollection 2023.,37007038,10.3389/fphar.2023.1067973,,,Abstract,Rejected,No safety information_Invitro study,,,No Error,,,,Bosnia and Herzegovina,,,,,,,,,
3348,,,Pharmacokinetics and effects of codeine in combination with acetaminophen on thermal nociception in horses,J Vet Pharmacol Ther. 2023 Apr 6. doi: 10.1111/jvp.13126. Online ahead of print.,37021661,10.1111/jvp.13126,,,Abstract,Invalid,"Animal study_Codeine, Paracetamol_Adverse events NOS",,,No error,,,,United States,,"Codeine, Paracteamol",Adverse events NOS,,,,,,
3349,,,Curcumin from Curcuma longa Linn. (Family: Zingiberaceae) attenuates hypochlorous acid-induced cytotoxicity and oxidative damage to human red blood cells,Toxicol In Vitro. 2023 Jun;89:105583. doi: 10.1016/j.tiv.2023.105583. Epub 2023 Mar 15.,36924976,10.1016/j.tiv.2023.105583,,,Abstract,Rejected,No safety information_Invitro study,,,No error,,,,India,,,,,,,,,
3350,,,Prenatal thyroid hormones accelerate postnatal growth and telomere shortening in wild great tits,J Exp Biol. 2023 Mar 15;226(6):jeb243875. doi: 10.1242/jeb.243875. Epub 2023 Mar 27.,36714994,10.1242/jeb.243875,,,Full text,Rejected,No safety information,,,No Error,,,,Finland,,,,,,,,,
